TS,front,drill,camera,back,press,manual,iCarrierID6_FrontCover,iCarrierID5_Drill,iCarrierID4_Camera,iCarrierID3_Back,iCarrierID2_Press,iCarrierID1_Manual,robot
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
5.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
6,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
6.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
7,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
7.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
8,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
8.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
9,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
9.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
10,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
10.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
11,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
11.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
12,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
12.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
13,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
13.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
14,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
14.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
15,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
15.5,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
16,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
16.5,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
17,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
17.5,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
18,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
18.5,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
19,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
19.5,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
20,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
20.5,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
21,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
21.5,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
22,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
22.5,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0
23,1,1,0,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0
23.5,1,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
24,1,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
24.5,1,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
25,1,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
25.5,1,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
26,1,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
26.5,1,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
27,1,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
27.5,1,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
28,0,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
28.5,0,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
29,0,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
29.5,0,1,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0
30,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
30.5,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
31,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
31.5,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
32,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
32.5,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
33,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
33.5,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
34,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
34.5,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
35,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
35.5,1,0,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
36,1,0,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
36.5,1,0,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
37,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
37.5,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
38,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
38.5,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
39,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
39.5,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
40,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
40.5,1,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
41,0,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
41.5,0,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
42,0,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
42.5,0,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0
43,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
43.5,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
44,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
44.5,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
45,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
45.5,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
46,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
46.5,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
47,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
47.5,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
48,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
48.5,1,1,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
49,1,0,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
49.5,1,0,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
50,1,0,0,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0
50.5,1,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
51,1,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
51.5,1,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
52,1,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
52.5,1,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
53,1,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
53.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
54,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
54.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
55,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
55.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
56,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
56.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
57,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
57.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
58,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
58.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
59,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
59.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
60,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
60.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
61,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
61.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
62,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
62.5,0,1,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
63,0,0,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
63.5,0,0,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
64,0,0,0,0,0,0,4.0,3.0,0.0,0.0,0.0,0.0,0
64.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
65,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
65.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
66,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
66.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
67,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
67.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
68,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
68.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
69,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
69.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
70,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
70.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
71,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
71.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
72,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
72.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
73,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
73.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
74,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
74.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
75,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
75.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
76,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
76.5,0,1,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
77,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
77.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
78,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
78.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
79,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
79.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
80,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
80.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
81,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
81.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
82,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
82.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
83,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
83.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
84,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
84.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
85,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
85.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
86,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
86.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
87,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
87.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
88,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
88.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
89,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
89.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
90,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
90.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
91,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
91.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
92,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
92.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
93,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
93.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
94,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
94.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
95,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
95.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
96,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
96.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
97,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
97.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
98,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
98.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
99,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
99.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
100,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
100.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
101,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
101.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
102,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
102.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
103,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
103.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
104,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
104.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
105,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
105.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
106,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
106.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
107,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
107.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
108,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
108.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
109,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
109.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
110,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
110.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
111,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
111.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
112,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
112.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
113,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
113.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
114,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
114.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
115,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
115.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
116,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
116.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
117,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
117.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
118,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
118.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
119,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
119.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
120,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
120.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
121,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
121.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
122,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
122.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
123,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
123.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
124,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
124.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
125,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
125.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
126,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
126.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
127,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
127.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
128,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
128.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
129,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
129.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
130,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
130.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
131,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
131.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
132,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
132.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
133,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
133.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
134,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
134.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
135,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
135.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
136,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
136.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
137,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
137.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
138,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
138.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
139,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
139.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
140,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
140.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
141,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
141.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
142,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
142.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
143,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
143.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
144,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
144.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
145,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
145.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
146,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
146.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
147,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
147.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
148,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
148.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
149,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
149.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
150,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
150.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
151,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
151.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
152,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
152.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
153,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
153.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
154,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
154.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
155,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
155.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
156,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
156.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
157,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
157.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
158,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
158.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
159,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
159.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
160,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
160.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
161,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
161.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
162,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
162.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
163,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
163.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
164,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
164.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
165,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
165.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
166,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
166.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
167,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,1
167.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
168,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
168.5,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
169,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0
